t,x,y
0.01,5.73406,4.01504
0.02,11.4661,8.02768
0.03,17.1962,12.0379
0.04,22.9242,16.0458
0.05,28.6503,20.0513
0.06,34.3743,24.0545
0.07,40.0964,28.0552
0.08,45.8164,32.0536
0.09,51.5345,36.0496
0.1,57.2506,40.0432
0.11,62.9647,44.0344
0.12,68.6768,48.0233
0.13,74.3869,52.0098
0.14,80.095,55.994
0.15,85.8011,59.9758
0.16,91.5053,63.9552
0.17,97.2075,67.9322
0.18,102.908,71.907
0.19,108.606,75.8793
0.2,114.302,79.8493
0.21,119.997,83.8169
0.22,125.689,87.7822
0.23,131.379,91.7452
0.24,137.068,95.7058
0.25,142.754,99.664
0.26,148.439,103.62
0.27,154.121,107.573
0.28,159.802,111.525
0.29,165.48,115.474
0.3,171.157,119.42
0.31,176.832,123.364
0.32,182.504,127.306
0.33,188.175,131.246
0.34,193.844,135.183
0.35,199.511,139.118
0.36,205.176,143.05
0.37,210.839,146.98
0.38,216.5,150.908
0.39,222.16,154.834
0.4,227.817,158.757
0.41,233.472,162.678
0.42,239.125,166.597
0.43,244.777,170.513
0.44,250.427,174.427
0.45,256.074,178.339
0.46,261.72,182.248
0.47,267.364,186.155
0.48,273.005,190.06
0.49,278.645,193.962
0.5,284.283,197.862
0.51,289.92,201.76
0.52,295.554,205.656
0.53,301.186,209.549
0.54,306.817,213.44
0.55,312.445,217.328
0.56,318.072,221.215
0.57,323.696,225.099
0.58,329.319,228.98
0.59,334.94,232.86
0.6,340.559,236.737
0.61,346.176,240.612
0.62,351.791,244.485
0.63,357.405,248.355
0.64,363.016,252.223
0.65,368.626,256.089
0.66,374.233,259.952
0.67,379.839,263.813
0.68,385.443,267.672
0.69,391.045,271.529
0.7,396.645,275.383
0.71,402.243,279.235
0.72,407.84,283.085
0.73,413.434,286.933
0.74,419.027,290.778
0.75,424.618,294.621
0.76,430.207,298.462
0.77,435.794,302.3
0.78,441.379,306.136
0.79,446.962,309.97
0.8,452.544,313.802
0.81,458.123,317.631
0.82,463.701,321.459
0.83,469.277,325.284
0.84,474.851,329.106
0.85,480.423,332.927
0.86,485.994,336.745
0.87,491.562,340.561
0.88,497.129,344.375
0.89,502.694,348.186
0.9,508.257,351.995
0.91,513.818,355.802
0.92,519.377,359.607
0.93,524.935,363.409
0.94,530.49,367.21
0.95,536.044,371.008
0.96,541.596,374.804
0.97,547.146,378.597
0.98,552.695,382.388
0.99,558.241,386.178
1,563.786,389.964
1.01,569.329,393.749
1.02,574.87,397.532
1.03,580.409,401.312
1.04,585.946,405.09
1.05,591.482,408.866
1.06,597.016,412.639
1.07,602.548,416.41
1.08,608.078,420.18
1.09,613.606,423.946
1.1,619.133,427.711
1.11,624.657,431.474
1.12,630.18,435.234
1.13,635.701,438.992
1.14,641.221,442.748
1.15,646.738,446.502
1.16,652.254,450.253
1.17,657.768,454.002
1.18,663.28,457.749
1.19,668.79,461.494
1.2,674.299,465.237
1.21,679.806,468.977
1.22,685.311,472.716
1.23,690.814,476.452
1.24,696.315,480.186
1.25,701.815,483.917
1.26,707.313,487.647
1.27,712.809,491.374
1.28,718.303,495.099
1.29,723.796,498.822
1.3,729.287,502.543
1.31,734.776,506.262
1.32,740.263,509.978
1.33,745.748,513.692
1.34,751.232,517.404
1.35,756.714,521.114
1.36,762.194,524.822
1.37,767.672,528.527
1.38,773.149,532.231
1.39,778.624,535.932
1.4,784.097,539.631
1.41,789.568,543.328
1.42,795.038,547.022
1.43,800.506,550.715
1.44,805.972,554.405
1.45,811.436,558.094
1.46,816.899,561.78
1.47,822.36,565.464
1.48,827.819,569.145
1.49,833.277,572.825
1.5,838.732,576.502
1.51,844.186,580.178
1.52,849.638,583.851
1.53,855.089,587.522
1.54,860.537,591.19
1.55,865.984,594.857
1.56,871.43,598.522
1.57,876.873,602.184
1.58,882.315,605.844
1.59,887.755,609.502
1.6,893.193,613.158
1.61,898.63,616.812
1.62,904.065,620.464
1.63,909.498,624.113
1.64,914.93,627.761
1.65,920.359,631.406
1.66,925.787,635.049
1.67,931.214,638.69
1.68,936.638,642.329
1.69,942.061,645.966
1.7,947.482,649.6
1.71,952.902,653.233
1.72,958.32,656.863
1.73,963.736,660.492
1.74,969.15,664.118
1.75,974.563,667.742
1.76,979.974,671.364
1.77,985.383,674.983
1.78,990.791,678.601
1.79,996.197,682.217
1.8,1001.6,685.83
1.81,1007,689.441
1.82,1012.4,693.051
1.83,1017.8,696.658
1.84,1023.2,700.263
1.85,1028.6,703.866
1.86,1033.99,707.466
1.87,1039.38,711.065
1.88,1044.77,714.662
1.89,1050.16,718.256
1.9,1055.55,721.849
1.91,1060.94,725.439
1.92,1066.32,729.027
1.93,1071.7,732.613
1.94,1077.08,736.197
1.95,1082.46,739.779
1.96,1087.84,743.359
1.97,1093.21,746.937
1.98,1098.59,750.512
1.99,1103.96,754.086
2,1109.33,757.657
2.01,1114.7,761.227
2.02,1120.07,764.794
2.03,1125.43,768.359
2.04,1130.8,771.922
2.05,1136.16,775.483
2.06,1141.52,779.042
2.07,1146.88,782.599
2.08,1152.24,786.154
2.09,1157.59,789.707
2.1,1162.95,793.257
2.11,1168.3,796.806
2.12,1173.65,800.352
2.13,1179,803.897
2.14,1184.35,807.439
2.15,1189.69,810.98
2.16,1195.04,814.518
2.17,1200.38,818.054
2.18,1205.72,821.588
2.19,1211.06,825.12
2.2,1216.4,828.65
2.21,1221.73,832.178
2.22,1227.07,835.704
2.23,1232.4,839.228
2.24,1237.73,842.75
2.25,1243.06,846.269
2.26,1248.39,849.787
2.27,1253.72,853.303
2.28,1259.04,856.816
2.29,1264.36,860.328
2.3,1269.69,863.837
2.31,1275.01,867.345
2.32,1280.32,870.85
2.33,1285.64,874.353
2.34,1290.96,877.855
2.35,1296.27,881.354
2.36,1301.58,884.851
2.37,1306.89,888.346
2.38,1312.2,891.839
2.39,1317.51,895.33
2.4,1322.81,898.82
2.41,1328.12,902.307
2.42,1333.42,905.792
2.43,1338.72,909.274
2.44,1344.02,912.755
2.45,1349.32,916.234
2.46,1354.61,919.711
2.47,1359.91,923.186
2.48,1365.2,926.659
2.49,1370.49,930.13
2.5,1375.78,933.598
2.51,1381.07,937.065
2.52,1386.35,940.53
2.53,1391.64,943.992
2.54,1396.92,947.453
2.55,1402.2,950.912
2.56,1407.48,954.368
2.57,1412.76,957.823
2.58,1418.04,961.276
2.59,1423.31,964.726
2.6,1428.59,968.175
2.61,1433.86,971.621
2.62,1439.13,975.066
2.63,1444.4,978.509
2.64,1449.67,981.949
2.65,1454.93,985.388
2.66,1460.2,988.824
2.67,1465.46,992.259
2.68,1470.72,995.691
2.69,1475.98,999.122
2.7,1481.24,1002.55
2.71,1486.49,1005.98
2.72,1491.75,1009.4
2.73,1497,1012.82
2.74,1502.25,1016.24
2.75,1507.5,1019.66
2.76,1512.75,1023.08
2.77,1518,1026.49
2.78,1523.24,1029.91
2.79,1528.49,1033.32
2.8,1533.73,1036.73
2.81,1538.97,1040.13
2.82,1544.21,1043.54
2.83,1549.45,1046.94
2.84,1554.68,1050.34
2.85,1559.92,1053.74
2.86,1565.15,1057.14
2.87,1570.38,1060.53
2.88,1575.61,1063.92
2.89,1580.84,1067.31
2.9,1586.07,1070.7
2.91,1591.29,1074.09
2.92,1596.52,1077.47
2.93,1601.74,1080.86
2.94,1606.96,1084.24
2.95,1612.18,1087.62
2.96,1617.4,1090.99
2.97,1622.62,1094.37
2.98,1627.83,1097.74
2.99,1633.04,1101.11
3,1638.26,1104.48
3.01,1643.47,1107.85
3.02,1648.67,1111.21
3.03,1653.88,1114.58
3.04,1659.09,1117.94
3.05,1664.29,1121.3
3.06,1669.49,1124.66
3.07,1674.7,1128.01
3.08,1679.89,1131.36
3.09,1685.09,1134.72
3.1,1690.29,1138.07
3.11,1695.48,1141.41
3.12,1700.68,1144.76
3.13,1705.87,1148.1
3.14,1711.06,1151.44
3.15,1716.25,1154.78
3.16,1721.44,1158.12
3.17,1726.62,1161.46
3.18,1731.81,1164.79
3.19,1736.99,1168.12
3.2,1742.17,1171.45
3.21,1747.35,1174.78
3.22,1752.53,1178.11
3.23,1757.71,1181.43
3.24,1762.88,1184.75
3.25,1768.06,1188.07
3.26,1773.23,1191.39
3.27,1778.4,1194.71
3.28,1783.57,1198.02
3.29,1788.74,1201.34
3.3,1793.91,1204.65
3.31,1799.07,1207.96
3.32,1804.24,1211.26
3.33,1809.4,1214.57
3.34,1814.56,1217.87
3.35,1819.72,1221.17
3.36,1824.88,1224.47
3.37,1830.03,1227.77
3.38,1835.19,1231.06
3.39,1840.34,1234.36
3.4,1845.49,1237.65
3.41,1850.64,1240.94
3.42,1855.79,1244.23
3.43,1860.94,1247.51
3.44,1866.08,1250.79
3.45,1871.23,1254.08
3.46,1876.37,1257.36
3.47,1881.51,1260.63
3.48,1886.65,1263.91
3.49,1891.79,1267.18
3.5,1896.93,1270.46
3.51,1902.07,1273.73
3.52,1907.2,1277
3.53,1912.33,1280.26
3.54,1917.47,1283.53
3.55,1922.6,1286.79
3.56,1927.72,1290.05
3.57,1932.85,1293.31
3.58,1937.98,1296.57
3.59,1943.1,1299.82
3.6,1948.22,1303.07
3.61,1953.34,1306.33
3.62,1958.46,1309.58
3.63,1963.58,1312.82
3.64,1968.7,1316.07
3.65,1973.82,1319.31
3.66,1978.93,1322.55
3.67,1984.04,1325.79
3.68,1989.15,1329.03
3.69,1994.26,1332.27
3.7,1999.37,1335.5
3.71,2004.48,1338.74
3.72,2009.58,1341.97
3.73,2014.69,1345.19
3.74,2019.79,1348.42
3.75,2024.89,1351.65
3.76,2029.99,1354.87
3.77,2035.09,1358.09
3.78,2040.19,1361.31
3.79,2045.28,1364.53
3.8,2050.38,1367.74
3.81,2055.47,1370.96
3.82,2060.56,1374.17
3.83,2065.65,1377.38
3.84,2070.74,1380.58
3.85,2075.83,1383.79
3.86,2080.91,1387
3.87,2086,1390.2
3.88,2091.08,1393.4
3.89,2096.16,1396.6
3.9,2101.24,1399.79
3.91,2106.32,1402.99
3.92,2111.4,1406.18
3.93,2116.47,1409.37
3.94,2121.55,1412.56
3.95,2126.62,1415.75
3.96,2131.69,1418.93
3.97,2136.76,1422.12
3.98,2141.83,1425.3
3.99,2146.9,1428.48
4,2151.96,1431.66
4.01,2157.03,1434.83
4.02,2162.09,1438.01
4.03,2167.15,1441.18
4.04,2172.21,1444.35
4.05,2177.27,1447.52
4.06,2182.33,1450.69
4.07,2187.38,1453.85
4.08,2192.44,1457.02
4.09,2197.49,1460.18
4.1,2202.54,1463.34
4.11,2207.6,1466.49
4.12,2212.64,1469.65
4.13,2217.69,1472.8
4.14,2222.74,1475.96
4.15,2227.78,1479.11
4.16,2232.83,1482.26
4.17,2237.87,1485.4
4.18,2242.91,1488.55
4.19,2247.95,1491.69
4.2,2252.99,1494.83
4.21,2258.03,1497.97
4.22,2263.06,1501.11
4.23,2268.09,1504.24
4.24,2273.13,1507.38
4.25,2278.16,1510.51
4.26,2283.19,1513.64
4.27,2288.22,1516.77
4.28,2293.24,1519.89
4.29,2298.27,1523.02
4.3,2303.3,1526.14
4.31,2308.32,1529.26
4.32,2313.34,1532.38
