t,x,y
0.01,4.94975,4.94975
0.02,9.89776,9.89678
0.03,14.844,14.8411
0.04,19.7886,19.7827
0.05,24.7314,24.7216
0.06,29.6725,29.6578
0.07,34.6119,34.5913
0.08,39.5495,39.5221
0.09,44.4855,44.4502
0.1,49.4197,49.3756
0.11,54.3522,54.2983
0.12,59.2829,59.2183
0.13,64.212,64.1356
0.14,69.1393,69.0502
0.15,74.0649,73.9621
0.16,78.9888,78.8713
0.17,83.911,83.7779
0.18,88.8315,88.6817
0.19,93.7503,93.5829
0.2,98.6674,98.4814
0.21,103.583,103.377
0.22,108.496,108.27
0.23,113.408,113.161
0.24,118.319,118.049
0.25,123.227,122.934
0.26,128.134,127.816
0.27,133.039,132.696
0.28,137.943,137.573
0.29,142.844,142.447
0.3,147.744,147.319
0.31,152.643,152.188
0.32,157.539,157.055
0.33,162.434,161.918
0.34,167.328,166.779
0.35,172.219,171.638
0.36,177.109,176.494
0.37,181.998,181.347
0.38,186.884,186.197
0.39,191.769,191.045
0.4,196.652,195.89
0.41,201.534,200.733
0.42,206.414,205.573
0.43,211.292,210.41
0.44,216.168,215.245
0.45,221.043,220.077
0.46,225.916,224.906
0.47,230.788,229.733
0.48,235.657,234.557
0.49,240.525,239.378
0.5,245.392,244.197
0.51,250.257,249.013
0.52,255.12,253.827
0.53,259.981,258.637
0.54,264.841,263.446
0.55,269.699,268.251
0.56,274.556,273.054
0.57,279.411,277.855
0.58,284.264,282.653
0.59,289.115,287.448
0.6,293.965,292.24
0.61,298.813,297.03
0.62,303.66,301.818
0.63,308.505,306.602
0.64,313.348,311.384
0.65,318.19,316.164
0.66,323.03,320.941
0.67,327.868,325.715
0.68,332.704,330.487
0.69,337.54,335.256
0.7,342.373,340.022
0.71,347.205,344.786
0.72,352.035,349.547
0.73,356.863,354.306
0.74,361.69,359.062
0.75,366.515,363.816
0.76,371.339,368.566
0.77,376.161,373.315
0.78,380.981,378.061
0.79,385.8,382.804
0.8,390.617,387.544
0.81,395.432,392.282
0.82,400.246,397.018
0.83,405.058,401.75
0.84,409.868,406.481
0.85,414.677,411.208
0.86,419.485,415.933
0.87,424.29,420.656
0.88,429.094,425.376
0.89,433.897,430.093
0.9,438.698,434.808
0.91,443.497,439.52
0.92,448.294,444.23
0.93,453.09,448.937
0.94,457.885,453.641
0.95,462.677,458.343
0.96,467.469,463.043
0.97,472.258,467.74
0.98,477.046,472.434
0.99,481.832,477.126
1,486.617,481.815
1.01,491.4,486.502
1.02,496.182,491.186
1.03,500.962,495.867
1.04,505.74,500.546
1.05,510.517,505.223
1.06,515.292,509.897
1.07,520.065,514.568
1.08,524.837,519.237
1.09,529.607,523.903
1.1,534.376,528.567
1.11,539.143,533.228
1.12,543.909,537.887
1.13,548.673,542.543
1.14,553.435,547.196
1.15,558.196,551.848
1.16,562.955,556.496
1.17,567.713,561.142
1.18,572.469,565.786
1.19,577.223,570.427
1.2,581.976,575.065
1.21,586.728,579.701
1.22,591.477,584.334
1.23,596.226,588.965
1.24,600.972,593.594
1.25,605.717,598.219
1.26,610.461,602.843
1.27,615.202,607.464
1.28,619.943,612.082
1.29,624.682,616.698
1.3,629.419,621.311
1.31,634.154,625.922
1.32,638.888,630.53
1.33,643.621,635.136
1.34,648.352,639.739
1.35,653.081,644.34
1.36,657.809,648.938
1.37,662.535,653.534
1.38,667.26,658.127
1.39,671.983,662.718
1.4,676.704,667.307
1.41,681.424,671.892
1.42,686.143,676.476
1.43,690.86,681.057
1.44,695.575,685.635
1.45,700.289,690.211
1.46,705.001,694.784
1.47,709.712,699.355
1.48,714.421,703.923
1.49,719.129,708.489
1.5,723.835,713.053
1.51,728.539,717.614
1.52,733.242,722.172
1.53,737.944,726.728
1.54,742.643,731.282
1.55,747.342,735.833
1.56,752.039,740.382
1.57,756.734,744.928
1.58,761.428,749.471
1.59,766.12,754.013
1.6,770.811,758.551
1.61,775.5,763.088
1.62,780.187,767.622
1.63,784.874,772.153
1.64,789.558,776.682
1.65,794.241,781.208
1.66,798.923,785.732
1.67,803.603,790.254
1.68,808.281,794.773
1.69,812.958,799.29
1.7,817.634,803.804
1.71,822.307,808.316
1.72,826.98,812.825
1.73,831.651,817.332
1.74,836.32,821.836
1.75,840.988,826.338
1.76,845.654,830.838
1.77,850.319,835.335
1.78,854.982,839.829
1.79,859.644,844.322
1.8,864.305,848.811
1.81,868.963,853.299
1.82,873.621,857.784
1.83,878.276,862.266
1.84,882.931,866.746
1.85,887.583,871.224
1.86,892.235,875.699
1.87,896.884,880.172
1.88,901.533,884.642
1.89,906.179,889.11
1.9,910.825,893.576
1.91,915.469,898.039
1.92,920.111,902.5
1.93,924.752,906.958
1.94,929.391,911.414
1.95,934.029,915.867
1.96,938.665,920.318
1.97,943.3,924.767
1.98,947.933,929.213
1.99,952.565,933.657
2,957.195,938.098
2.01,961.824,942.537
2.02,966.452,946.974
2.03,971.077,951.408
2.04,975.702,955.839
2.05,980.325,960.269
2.06,984.946,964.696
2.07,989.566,969.12
2.08,994.185,973.543
2.09,998.802,977.962
2.1,1003.42,982.38
2.11,1008.03,986.795
2.12,1012.64,991.207
2.13,1017.26,995.617
2.14,1021.86,1000.03
2.15,1026.47,1004.43
2.16,1031.08,1008.83
2.17,1035.68,1013.23
2.18,1040.29,1017.63
2.19,1044.89,1022.03
2.2,1049.49,1026.42
2.21,1054.09,1030.81
2.22,1058.69,1035.2
2.23,1063.29,1039.59
2.24,1067.88,1043.97
2.25,1072.47,1048.35
2.26,1077.07,1052.73
