t,x,y
0.01,0.707107,0.707107
0.02,1.41421,1.41323
0.03,2.12132,2.11838
0.04,2.82843,2.82254
0.05,3.53553,3.52572
0.06,4.24264,4.22793
0.07,4.94975,4.92915
0.08,5.65685,5.62939
0.09,6.36396,6.32865
0.1,7.07107,7.02692
0.11,7.77817,7.72422
0.12,8.48528,8.42054
0.13,9.19239,9.11587
0.14,9.89949,9.81022
0.15,10.6066,10.5036
0.16,11.3137,11.196
0.17,12.0208,11.8874
0.18,12.7279,12.5778
0.19,13.435,13.2673
0.2,14.1421,13.9557
0.21,14.8492,14.6432
0.22,15.5563,15.3297
0.23,16.2635,16.0153
0.24,16.9706,16.6998
0.25,17.6777,17.3834
0.26,18.3848,18.066
0.27,19.0919,18.7476
0.28,19.799,19.4282
0.29,20.5061,20.1078
0.3,21.2132,20.7865
0.31,21.9203,21.4641
0.32,22.6274,22.1408
0.33,23.3345,22.8166
0.34,24.0416,23.4913
0.35,24.7487,24.165
0.36,25.4558,24.8378
0.37,26.163,25.5096
0.38,26.8701,26.1804
0.39,27.5772,26.8502
0.4,28.2843,27.5191
0.41,28.9914,28.187
0.42,29.6985,28.8538
0.43,30.4056,29.5197
0.44,31.1127,30.1847
0.45,31.8198,30.8486
0.46,32.5269,31.5116
0.47,33.234,32.1736
0.48,33.9411,32.8346
0.49,34.6482,33.4946
0.5,35.3553,34.1536
0.51,36.0624,34.8117
0.52,36.7696,35.4687
0.53,37.4767,36.1248
0.54,38.1838,36.78
0.55,38.8909,37.4341
0.56,39.598,38.0872
0.57,40.3051,38.7394
0.58,41.0122,39.3906
0.59,41.7193,40.0408
0.6,42.4264,40.69
0.61,43.1335,41.3383
0.62,43.8406,41.9855
0.63,44.5477,42.6318
0.64,45.2548,43.2771
0.65,45.9619,43.9215
0.66,46.669,44.5648
0.67,47.3762,45.2072
0.68,48.0833,45.8485
0.69,48.7904,46.4889
0.7,49.4975,47.1284
0.71,50.2046,47.7668
0.72,50.9117,48.4043
0.73,51.6188,49.0407
0.74,52.3259,49.6762
0.75,53.033,50.3107
0.76,53.7401,50.9443
0.77,54.4472,51.5768
0.78,55.1543,52.2084
0.79,55.8614,52.839
0.8,56.5685,53.4686
0.81,57.2756,54.0972
0.82,57.9828,54.7249
0.83,58.6899,55.3515
0.84,59.397,55.9772
0.85,60.1041,56.6019
0.86,60.8112,57.2256
0.87,61.5183,57.8484
0.88,62.2254,58.4701
0.89,62.9325,59.0909
0.9,63.6396,59.7107
0.91,64.3467,60.3295
0.92,65.0538,60.9474
0.93,65.7609,61.5642
0.94,66.468,62.1801
0.95,67.1751,62.795
0.96,67.8823,63.4089
0.97,68.5894,64.0218
0.98,69.2965,64.6338
0.99,70.0036,65.2447
1,70.7107,65.8547
1.01,71.4178,66.4637
1.02,72.1249,67.0718
1.03,72.832,67.6788
1.04,73.5391,68.2849
1.05,74.2462,68.89
1.06,74.9533,69.4941
1.07,75.6604,70.0972
1.08,76.3675,70.6993
1.09,77.0746,71.3005
1.1,77.7817,71.9007
1.11,78.4889,72.4998
1.12,79.196,73.0981
1.13,79.9031,73.6953
1.14,80.6102,74.2916
1.15,81.3173,74.8868
1.16,82.0244,75.4811
1.17,82.7315,76.0744
1.18,83.4386,76.6668
1.19,84.1457,77.2581
1.2,84.8528,77.8485
1.21,85.5599,78.4379
1.22,86.267,79.0263
1.23,86.9741,79.6137
1.24,87.6812,80.2001
1.25,88.3883,80.7856
1.26,89.0955,81.3701
1.27,89.8026,81.9536
1.28,90.5097,82.5361
1.29,91.2168,83.1176
1.3,91.9239,83.6982
1.31,92.631,84.2778
