theta_deg,xmax
15,386.369
16,403.713
17,420.207
18,435.872
19,450.731
20,464.801
21,478.101
22,490.646
23,502.453
24,513.536
25,523.907
26,533.579
27,542.563
28,550.871
29,558.512
30,565.496
31,571.831
32,577.526
33,582.588
34,587.026
35,590.845
36,594.053
37,596.655
38,598.657
39,600.066
40,600.885
41,601.121
42,600.778
43,599.86
44,598.373
45,596.32
46,593.705
47,590.532
48,586.806
49,582.53
50,577.708
51,572.343
52,566.44
53,560.001
54,553.031
55,545.534
56,537.512
57,528.97
58,519.912
59,510.342
60,500.265
61,489.683
62,478.603
63,467.029
64,454.966
65,442.419
