t,x,y
0.01,0.422618,0.906308
0.02,0.844391,1.80982
0.03,1.26532,2.71055
0.04,1.68542,3.60851
0.05,2.10468,4.50371
0.06,2.52311,5.39616
0.07,2.94072,6.28586
0.08,3.35751,7.17284
0.09,3.77348,8.0571
0.1,4.18864,8.93865
0.11,4.60298,9.8175
0.12,5.01653,10.6937
0.13,5.42927,11.5671
0.14,5.84121,12.438
0.15,6.25236,13.3061
0.16,6.66273,14.1716
0.17,7.0723,15.0345
0.18,7.48109,15.8947
0.19,7.88911,16.7523
0.2,8.29634,17.6073
0.21,8.70281,18.4597
0.22,9.10851,19.3096
0.23,9.51345,20.1568
0.24,9.91762,21.0015
0.25,10.321,21.8436
0.26,10.7237,22.6831
0.27,11.1256,23.5201
0.28,11.5268,24.3546
0.29,11.9272,25.1865
0.3,12.3269,26.0159
0.31,12.7258,26.8428
0.32,13.1241,27.6673
0.33,13.5216,28.4892
0.34,13.9183,29.3086
0.35,14.3144,30.1256
0.36,14.7097,30.9401
0.37,15.1043,31.7521
0.38,15.4982,32.5617
0.39,15.8914,33.3689
0.4,16.2838,34.1736
0.41,16.6756,34.976
0.42,17.0667,35.7759
0.43,17.4571,36.5733
0.44,17.8468,37.3684
0.45,18.2357,38.1611
0.46,18.6241,38.9515
0.47,19.0117,39.7394
0.48,19.3986,40.525
0.49,19.7849,41.3082
0.5,20.1705,42.0891
0.51,20.5554,42.8677
0.52,20.9396,43.6439
0.53,21.3232,44.4177
0.54,21.7062,45.1893
0.55,22.0884,45.9586
0.56,22.47,46.7255
0.57,22.851,47.4902
0.58,23.2313,48.2525
0.59,23.6109,49.0126
0.6,23.9899,49.7704
0.61,24.3683,50.526
0.62,24.746,51.2793
0.63,25.1231,52.0303
0.64,25.4996,52.7791
0.65,25.8754,53.5257
0.66,26.2506,54.27
0.67,26.6252,55.0121
0.68,26.9991,55.752
0.69,27.3725,56.4897
0.7,27.7452,57.2252
0.71,28.1173,57.9585
0.72,28.4887,58.6896
0.73,28.8596,59.4185
0.74,29.2299,60.1453
