t,x,y
0.0720802,5.09684,5.09684
0.14416,10.1937,10.1427
0.216241,15.2905,15.1376
0.288321,20.3874,20.0815
0.360401,25.4842,24.9745
0.432481,30.581,29.8165
0.504561,35.6779,34.6075
0.576642,40.7747,39.3476
0.648722,45.8716,44.0367
0.720802,50.9684,48.6748
0.792882,56.0652,53.262
0.864962,61.1621,57.7982
0.937043,66.2589,62.2834
1.00912,71.3558,66.7176
1.0812,76.4526,71.1009
1.15328,81.5494,75.4332
1.22536,86.6463,79.7146
1.29744,91.7431,83.945
1.36952,96.84,88.1244
1.4416,101.937,92.2528
1.51368,107.034,96.3303
1.58576,112.13,100.357
1.65784,117.227,104.332
1.72992,122.324,108.257
1.80201,127.421,112.13
1.87409,132.518,115.953
1.94617,137.615,119.725
2.01825,142.712,123.445
2.09033,147.808,127.115
2.16241,152.905,130.734
2.23449,158.002,134.302
2.30657,163.099,137.819
2.37865,168.196,141.284
2.45073,173.293,144.699
2.52281,178.389,148.063
2.59489,183.486,151.376
2.66697,188.583,154.638
2.73905,193.68,157.849
2.81113,198.777,161.009
2.88321,203.874,164.118
2.95529,208.97,167.176
3.02737,214.067,170.183
3.09945,219.164,173.14
3.17153,224.261,176.045
3.24361,229.358,178.899
3.31569,234.455,181.702
3.38777,239.551,184.455
3.45985,244.648,187.156
3.53193,249.745,189.806
3.60401,254.842,192.406
3.67609,259.939,194.954
3.74817,265.036,197.452
3.82025,270.133,199.898
3.89233,275.229,202.294
3.96441,280.326,204.638
4.03649,285.423,206.932
4.10857,290.52,209.174
4.18065,295.617,211.366
4.25273,300.714,213.507
4.32481,305.81,215.596
4.39689,310.907,217.635
4.46897,316.004,219.623
4.54105,321.101,221.56
4.61313,326.198,223.445
4.68521,331.295,225.28
4.75729,336.391,227.064
4.82937,341.488,228.797
4.90145,346.585,230.479
4.97353,351.682,232.11
5.04561,356.779,233.69
5.11769,361.876,235.219
5.18977,366.972,236.697
5.26185,372.069,238.124
5.33393,377.166,239.501
5.40602,382.263,240.826
5.4781,387.36,242.1
5.55018,392.457,243.323
5.62226,397.554,244.495
5.69434,402.65,245.617
5.76642,407.747,246.687
5.8385,412.844,247.706
5.91058,417.941,248.675
5.98266,423.038,249.592
6.05474,428.135,250.459
6.12682,433.231,251.274
6.1989,438.328,252.039
6.27098,443.425,252.752
6.34306,448.522,253.415
6.41514,453.619,254.027
6.48722,458.716,254.587
6.5593,463.812,255.097
6.63138,468.909,255.556
6.70346,474.006,255.963
6.77554,479.103,256.32
6.84762,484.2,256.626
6.9197,489.297,256.881
6.99178,494.393,257.085
7.06386,499.49,257.238
7.13594,504.587,257.339
7.20802,509.684,257.39
7.2801,514.781,257.39
7.35218,519.878,257.339
7.42426,524.975,257.238
7.49634,530.071,257.085
7.56842,535.168,256.881
7.6405,540.265,256.626
7.71258,545.362,256.32
7.78466,550.459,255.963
7.85674,555.556,255.556
7.92882,560.652,255.097
8.0009,565.749,254.587
8.07298,570.846,254.027
8.14506,575.943,253.415
8.21714,581.04,252.752
8.28922,586.137,252.039
8.3613,591.233,251.274
8.43338,596.33,250.459
8.50546,601.427,249.592
8.57754,606.524,248.675
8.64962,611.621,247.706
8.7217,616.718,246.687
8.79378,621.814,245.617
8.86586,626.911,244.495
8.93795,632.008,243.323
9.01003,637.105,242.1
9.08211,642.202,240.826
9.15419,647.299,239.501
9.22627,652.396,238.124
9.29835,657.492,236.697
9.37043,662.589,235.219
9.44251,667.686,233.69
9.51459,672.783,232.11
9.58667,677.88,230.479
9.65875,682.977,228.797
9.73083,688.073,227.064
9.80291,693.17,225.28
9.87499,698.267,223.445
9.94707,703.364,221.56
10.0191,708.461,219.623
10.0912,713.558,217.635
10.1633,718.654,215.596
10.2354,723.751,213.507
10.3075,728.848,211.366
10.3795,733.945,209.174
10.4516,739.042,206.932
10.5237,744.139,204.638
10.5958,749.235,202.294
10.6679,754.332,199.898
10.74,759.429,197.452
10.812,764.526,194.954
10.8841,769.623,192.406
10.9562,774.72,189.806
11.0283,779.817,187.156
11.1004,784.913,184.455
11.1724,790.01,181.702
11.2445,795.107,178.899
11.3166,800.204,176.045
11.3887,805.301,173.14
11.4608,810.398,170.183
11.5328,815.494,167.176
11.6049,820.591,164.118
11.677,825.688,161.009
11.7491,830.785,157.849
11.8212,835.882,154.638
11.8932,840.979,151.376
11.9653,846.075,148.063
12.0374,851.172,144.699
12.1095,856.269,141.284
12.1816,861.366,137.819
12.2536,866.463,134.302
12.3257,871.56,130.734
12.3978,876.656,127.115
12.4699,881.753,123.445
12.542,886.85,119.725
12.614,891.947,115.953
12.6861,897.044,112.13
12.7582,902.141,108.257
12.8303,907.238,104.332
12.9024,912.334,100.357
12.9744,917.431,96.3303
13.0465,922.528,92.2528
13.1186,927.625,88.1244
13.1907,932.722,83.945
13.2628,937.819,79.7146
13.3348,942.915,75.4332
13.4069,948.012,71.1009
13.479,953.109,66.7176
13.5511,958.206,62.2834
13.6232,963.303,57.7982
13.6952,968.4,53.262
13.7673,973.496,48.6748
13.8394,978.593,44.0367
13.9115,983.69,39.3476
13.9836,988.787,34.6075
14.0556,993.884,29.8165
14.1277,998.981,24.9745
14.1998,1004.08,20.0815
14.2719,1009.17,15.1376
14.344,1014.27,10.1427
14.416,1019.37,5.09684
14.4881,1024.46,3.43725e-13
14.4881,1024.46,0
