x,y,T
0,0,581.206
0.2,0,581.206
0.4,0,581.234
0.6,0,581.287
0.8,0,581.364
1,0,581.466
1.2,0,581.593
1.4,0,581.744
1.6,0,581.92
1.8,0,582.121
2,0,582.347
2.2,0,582.597
2.4,0,582.873
2.6,0,583.174
2.8,0,583.501
3,0,583.853
3.2,0,584.231
3.4,0,584.635
3.6,0,585.065
3.8,0,585.521
4,0,586.003
4.2,0,586.51
4.4,0,587.043
4.6,0,587.602
4.8,0,588.186
5,0,588.794
5.2,0,589.425
5.4,0,590.079
5.6,0,590.753
5.8,0,591.446
6,0,592.156
6.2,0,592.879
6.4,0,593.611
6.6,0,594.348
6.8,0,595.085
7,0,595.815
7.2,0,596.53
7.4,0,597.223
7.6,0,597.885
7.8,0,598.507
8,0,599.08
8.2,0,599.598
8.4,0,600.056
8.6,0,600.45
8.8,0,600.779
9,0,601.045
9.2,0,601.252
9.4,0,601.402
9.6,0,601.5
9.8,0,601.548
10,0,601.548

0,0.2,581.206
0.2,0.2,581.206
0.4,0.2,581.234
0.6,0.2,581.287
0.8,0.2,581.364
1,0.2,581.466
1.2,0.2,581.593
1.4,0.2,581.744
1.6,0.2,581.92
1.8,0.2,582.121
2,0.2,582.347
2.2,0.2,582.597
2.4,0.2,582.873
2.6,0.2,583.174
2.8,0.2,583.501
3,0.2,583.853
3.2,0.2,584.231
3.4,0.2,584.635
3.6,0.2,585.065
3.8,0.2,585.521
4,0.2,586.003
4.2,0.2,586.51
4.4,0.2,587.043
4.6,0.2,587.602
4.8,0.2,588.186
5,0.2,588.794
5.2,0.2,589.425
5.4,0.2,590.079
5.6,0.2,590.753
5.8,0.2,591.446
6,0.2,592.156
6.2,0.2,592.879
6.4,0.2,593.611
6.6,0.2,594.348
6.8,0.2,595.085
7,0.2,595.815
7.2,0.2,596.53
7.4,0.2,597.223
7.6,0.2,597.885
7.8,0.2,598.507
8,0.2,599.08
8.2,0.2,599.598
8.4,0.2,600.056
8.6,0.2,600.45
8.8,0.2,600.779
9,0.2,601.045
9.2,0.2,601.252
9.4,0.2,601.402
9.6,0.2,601.5
9.8,0.2,601.548
10,0.2,601.548

0,0.4,581.203
0.2,0.4,581.203
0.4,0.4,581.231
0.6,0.4,581.284
0.8,0.4,581.362
1,0.4,581.464
1.2,0.4,581.59
1.4,0.4,581.741
1.6,0.4,581.917
1.8,0.4,582.118
2,0.4,582.343
2.2,0.4,582.594
2.4,0.4,582.87
2.6,0.4,583.171
2.8,0.4,583.497
3,0.4,583.849
3.2,0.4,584.227
3.4,0.4,584.631
3.6,0.4,585.061
3.8,0.4,585.517
4,0.4,585.999
4.2,0.4,586.506
4.4,0.4,587.04
4.6,0.4,587.599
4.8,0.4,588.183
5,0.4,588.792
5.2,0.4,589.424
5.4,0.4,590.08
5.6,0.4,590.756
5.8,0.4,591.452
6,0.4,592.164
6.2,0.4,592.891
6.4,0.4,593.628
6.6,0.4,594.371
6.8,0.4,595.114
7,0.4,595.851
7.2,0.4,596.575
7.4,0.4,597.276
7.6,0.4,597.947
7.8,0.4,598.577
8,0.4,599.157
8.2,0.4,599.681
8.4,0.4,600.141
8.6,0.4,600.536
8.8,0.4,600.864
9,0.4,601.127
9.2,0.4,601.33
9.4,0.4,601.476
9.6,0.4,601.571
9.8,0.4,601.618
10,0.4,601.618

0,0.6,581.195
0.2,0.6,581.195
0.4,0.6,581.223
0.6,0.6,581.276
0.8,0.6,581.353
1,0.6,581.455
1.2,0.6,581.581
1.4,0.6,581.732
1.6,0.6,581.908
1.8,0.6,582.108
2,0.6,582.334
2.2,0.6,582.584
2.4,0.6,582.859
2.6,0.6,583.16
2.8,0.6,583.486
3,0.6,583.838
3.2,0.6,584.216
3.4,0.6,584.62
3.6,0.6,585.049
3.8,0.6,585.505
4,0.6,585.987
4.2,0.6,586.495
4.4,0.6,587.029
4.6,0.6,587.589
4.8,0.6,588.175
5,0.6,588.785
5.2,0.6,589.42
5.4,0.6,590.078
5.6,0.6,590.758
5.8,0.6,591.459
6,0.6,592.177
6.2,0.6,592.911
6.4,0.6,593.658
6.6,0.6,594.411
6.8,0.6,595.167
7,0.6,595.919
7.2,0.6,596.659
7.4,0.6,597.379
7.6,0.6,598.067
7.8,0.6,598.715
8,0.6,599.31
8.2,0.6,599.845
8.4,0.6,600.312
8.6,0.6,600.707
8.8,0.6,601.031
9,0.6,601.288
9.2,0.6,601.482
9.4,0.6,601.621
9.6,0.6,601.71
9.8,0.6,601.753
10,0.6,601.753

0,0.8,581.181
0.2,0.8,581.181
0.4,0.8,581.209
0.6,0.8,581.261
0.8,0.8,581.339
1,0.8,581.44
1.2,0.8,581.566
1.4,0.8,581.717
1.6,0.8,581.892
1.8,0.8,582.092
2,0.8,582.317
2.2,0.8,582.567
2.4,0.8,582.842
2.6,0.8,583.142
2.8,0.8,583.468
3,0.8,583.82
3.2,0.8,584.197
3.4,0.8,584.6
3.6,0.8,585.03
3.8,0.8,585.486
4,0.8,585.968
4.2,0.8,586.476
4.4,0.8,587.011
4.6,0.8,587.572
4.8,0.8,588.159
5,0.8,588.772
5.2,0.8,589.41
5.4,0.8,590.072
5.6,0.8,590.758
5.8,0.8,591.466
6,0.8,592.193
6.2,0.8,592.938
6.4,0.8,593.698
6.6,0.8,594.468
6.8,0.8,595.243
7,0.8,596.018
7.2,0.8,596.783
7.4,0.8,597.53
7.6,0.8,598.248
7.8,0.8,598.923
8,0.8,599.543
8.2,0.8,600.095
8.4,0.8,600.571
8.6,0.8,600.967
8.8,0.8,601.285
9,0.8,601.529
9.2,0.8,601.709
9.4,0.8,601.834
9.6,0.8,601.912
9.8,0.8,601.95
10,0.8,601.95

0,1,581.161
0.2,1,581.161
0.4,1,581.189
0.6,1,581.241
0.8,1,581.318
1,1,581.419
1.2,1,581.545
1.4,1,581.695
1.6,1,581.87
1.8,1,582.07
2,1,582.294
2.2,1,582.543
2.4,1,582.818
2.6,1,583.117
2.8,1,583.443
3,1,583.794
3.2,1,584.17
3.4,1,584.573
3.6,1,585.002
3.8,1,585.458
4,1,585.94
4.2,1,586.449
4.4,1,586.985
4.6,1,587.547
4.8,1,588.137
5,1,588.752
5.2,1,589.394
5.4,1,590.062
5.6,1,590.755
5.8,1,591.471
6,1,592.21
6.2,1,592.969
6.4,1,593.746
6.6,1,594.537
6.8,1,595.338
7,1,596.143
7.2,1,596.944
7.4,1,597.73
7.6,1,598.489
7.8,1,599.205
8,1,599.861
8.2,1,600.44
8.4,1,600.93
8.6,1,601.325
8.8,1,601.63
9,1,601.853
9.2,1,602.009
9.4,1,602.112
9.6,1,602.173
9.8,1,602.202
10,1,602.202

0,1.2,581.135
0.2,1.2,581.135
0.4,1.2,581.163
0.6,1.2,581.215
0.8,1.2,581.291
1,1.2,581.392
1.2,1.2,581.518
1.4,1.2,581.667
1.6,1.2,581.842
1.8,1.2,582.04
2,1.2,582.264
2.2,1.2,582.513
2.4,1.2,582.786
2.6,1.2,583.085
2.8,1.2,583.41
3,1.2,583.76
3.2,1.2,584.136
3.4,1.2,584.538
3.6,1.2,584.967
3.8,1.2,585.422
4,1.2,585.904
4.2,1.2,586.414
4.4,1.2,586.95
4.6,1.2,587.514
4.8,1.2,588.106
5,1.2,588.725
5.2,1.2,589.371
5.4,1.2,590.045
5.6,1.2,590.746
5.8,1.2,591.472
6,1.2,592.224
6.2,1.2,593
6.4,1.2,593.798
6.6,1.2,594.615
6.8,1.2,595.448
7,1.2,596.291
7.2,1.2,597.137
7.4,1.2,597.975
7.6,1.2,598.791
7.8,1.2,599.565
8,1.2,600.274
8.2,1.2,600.892
8.4,1.2,601.4
8.6,1.2,601.793
8.8,1.2,602.074
9,1.2,602.262
9.2,1.2,602.379
9.4,1.2,602.449
9.6,1.2,602.486
9.8,1.2,602.502
10,1.2,602.502

0,1.4,581.103
0.2,1.4,581.103
0.4,1.4,581.131
0.6,1.4,581.183
0.8,1.4,581.259
1,1.4,581.359
1.2,1.4,581.484
1.4,1.4,581.633
1.6,1.4,581.807
1.8,1.4,582.005
2,1.4,582.228
2.2,1.4,582.475
2.4,1.4,582.748
2.6,1.4,583.046
2.8,1.4,583.369
3,1.4,583.718
3.2,1.4,584.093
3.4,1.4,584.495
3.6,1.4,584.923
3.8,1.4,585.378
4,1.4,585.86
4.2,1.4,586.369
4.4,1.4,586.906
4.6,1.4,587.472
4.8,1.4,588.066
5,1.4,588.688
5.2,1.4,589.339
5.4,1.4,590.019
5.6,1.4,590.729
5.8,1.4,591.467
6,1.4,592.233
6.2,1.4,593.028
6.4,1.4,593.849
6.6,1.4,594.696
6.8,1.4,595.566
7,1.4,596.454
7.2,1.4,597.355
7.4,1.4,598.26
7.6,1.4,599.152
7.8,1.4,600.009
8,1.4,600.797
8.2,1.4,601.471
8.4,1.4,602.005
8.6,1.4,602.389
8.8,1.4,602.631
9,1.4,602.76
9.2,1.4,602.817
9.4,1.4,602.836
9.6,1.4,602.838
9.8,1.4,602.836
10,1.4,602.836

0,1.6,581.065
0.2,1.6,581.065
0.4,1.6,581.093
0.6,1.6,581.144
0.8,1.6,581.22
1,1.6,581.32
1.2,1.6,581.444
1.4,1.6,581.593
1.6,1.6,581.765
1.8,1.6,581.963
2,1.6,582.184
2.2,1.6,582.431
2.4,1.6,582.702
2.6,1.6,582.999
2.8,1.6,583.321
3,1.6,583.669
3.2,1.6,584.043
3.4,1.6,584.443
3.6,1.6,584.87
3.8,1.6,585.324
4,1.6,585.806
4.2,1.6,586.315
4.4,1.6,586.853
4.6,1.6,587.419
4.8,1.6,588.015
5,1.6,588.64
5.2,1.6,589.296
5.4,1.6,589.983
5.6,1.6,590.701
5.8,1.6,591.45
6,1.6,592.232
6.2,1.6,593.046
6.4,1.6,593.893
6.6,1.6,594.772
6.8,1.6,595.683
7,1.6,596.623
7.2,1.6,597.589
7.4,1.6,598.575
7.6,1.6,599.567
7.8,1.6,600.542
8,1.6,601.45
8.2,1.6,602.21
8.4,1.6,602.779
8.6,1.6,603.145
8.8,1.6,603.319
9,1.6,603.347
9.2,1.6,603.31
9.4,1.6,603.257
9.6,1.6,603.212
9.8,1.6,603.187
10,1.6,603.187

0,1.8,581.022
0.2,1.8,581.022
0.4,1.8,581.049
0.6,1.8,581.1
0.8,1.8,581.176
1,1.8,581.275
1.2,1.8,581.399
1.4,1.8,581.546
1.6,1.8,581.718
1.8,1.8,581.914
2,1.8,582.134
2.2,1.8,582.38
2.4,1.8,582.65
2.6,1.8,582.945
2.8,1.8,583.265
3,1.8,583.612
3.2,1.8,583.984
3.4,1.8,584.383
3.6,1.8,584.808
3.8,1.8,585.261
4,1.8,585.742
4.2,1.8,586.251
4.4,1.8,586.788
4.6,1.8,587.355
4.8,1.8,587.953
5,1.8,588.581
5.2,1.8,589.241
5.4,1.8,589.933
5.6,1.8,590.659
5.8,1.8,591.42
6,1.8,592.217
6.2,1.8,593.051
6.4,1.8,593.923
6.6,1.8,594.835
6.8,1.8,595.788
7,1.8,596.784
7.2,1.8,597.822
7.4,1.8,598.902
7.6,1.8,600.019
7.8,1.8,601.158
8,1.8,602.27
8.2,1.8,603.158
8.4,1.8,603.774
8.6,1.8,604.109
8.8,1.8,604.173
9,1.8,604.018
9.2,1.8,603.839
9.4,1.8,603.689
9.6,1.8,603.584
9.8,1.8,603.531
10,1.8,603.531

0,2,580.973
0.2,2,580.973
0.4,2,581
0.6,2,581.051
0.8,2,581.126
1,2,581.225
1.2,2,581.347
1.4,2,581.494
1.6,2,581.664
1.8,2,581.859
2,2,582.078
2.2,2,582.322
2.4,2,582.59
2.6,2,582.883
2.8,2,583.202
3,2,583.546
3.2,2,583.917
3.4,2,584.314
3.6,2,584.737
3.8,2,585.189
4,2,585.668
4.2,2,586.175
4.4,2,586.713
4.6,2,587.28
4.8,2,587.878
5,2,588.508
5.2,2,589.171
5.4,2,589.868
5.6,2,590.601
5.8,2,591.372
6,2,592.183
6.2,2,593.035
6.4,2,593.931
6.6,2,594.875
6.8,2,595.87
7,2,596.92
7.2,2,598.031
7.4,2,599.209
7.6,2,600.466
7.8,2,601.821
8,2,603.331
8.2,2,604.396
8.4,2,605.069
8.6,2,605.362
8.8,2,605.265
9,2,604.729
9.2,2,604.356
9.4,2,604.093
9.6,2,603.923
9.8,2,603.84
10,2,603.84

0,2.2,580.918
0.2,2.2,580.918
0.4,2.2,580.945
0.6,2.2,580.996
0.8,2.2,581.07
1,2.2,581.168
1.2,2.2,581.29
1.4,2.2,581.435
1.6,2.2,581.605
1.8,2.2,581.798
2,2.2,582.015
2.2,2.2,582.257
2.4,2.2,582.523
2.6,2.2,582.815
2.8,2.2,583.131
3,2.2,583.473
