t,Ekin,Epot,Etot
0.000166667,0.022266,0.088463,0.110729
0.000333333,0.0225959,0.088133,0.110729
0.0005,0.0231416,0.0875869,0.110728
0.000666667,0.0238972,0.0868308,0.110728
0.000833333,0.0248543,0.085873,0.110727
0.001,0.0260025,0.084724,0.110727
0.00116667,0.0273294,0.0833962,0.110726
0.00133333,0.0288208,0.0819039,0.110725
0.0015,0.0304608,0.0802628,0.110724
0.00166667,0.0322322,0.0784902,0.110722
0.00183333,0.0341169,0.0766043,0.110721
0.002,0.0360957,0.0746243,0.11072
0.00216667,0.0381489,0.0725698,0.110719
0.00233333,0.0402566,0.0704609,0.110717
0.0025,0.0423986,0.0683176,0.110716
0.00266667,0.0445553,0.0661597,0.110715
0.00283333,0.0467074,0.0640064,0.110714
0.003,0.0488364,0.0618764,0.110713
0.00316667,0.0509245,0.0597873,0.110712
0.00333333,0.0529553,0.0577555,0.110711
0.0035,0.0549136,0.0557964,0.11071
0.00366667,0.0567856,0.0539236,0.110709
0.00383333,0.0585592,0.0521493,0.110709
0.004,0.0602238,0.0504841,0.110708
0.00416667,0.0617706,0.0489369,0.110708
0.00433333,0.0631924,0.0475148,0.110707
0.0045,0.0644838,0.0462231,0.110707
0.00466667,0.0656412,0.0450656,0.110707
0.00483333,0.0666626,0.0440442,0.110707
0.005,0.0675474,0.0431595,0.110707
0.00516667,0.0682967,0.0424103,0.110707
0.00533333,0.0689129,0.0417943,0.110707
0.0055,0.0693999,0.0413077,0.110708
0.00566667,0.0697622,0.0409457,0.110708
0.00583333,0.0700059,0.0407025,0.110708
0.006,0.0701374,0.0405713,0.110709
0.00616667,0.0701643,0.040545,0.110709
0.00633333,0.0700944,0.0406154,0.11071
0.0065,0.0699359,0.0407744,0.11071
0.00666667,0.0696976,0.0410133,0.110711
0.00683333,0.0693881,0.0413233,0.110711
0.007,0.0690161,0.0416958,0.110712
0.00716667,0.0685904,0.0421221,0.110713
0.00733333,0.0681192,0.0425938,0.110713
0.0075,0.0676109,0.0431026,0.110713
0.00766667,0.0670731,0.0436408,0.110714
0.00783333,0.0665133,0.0442011,0.110714
0.008,0.0659383,0.0447765,0.110715
0.00816667,0.0653545,0.0453606,0.110715
0.00833333,0.0647677,0.0459478,0.110715
0.0085,0.0641831,0.0465327,0.110716
0.00866667,0.0636054,0.0471106,0.110716
0.00883333,0.0630388,0.0476775,0.110716
0.009,0.0624867,0.0482298,0.110716
0.00916667,0.0619521,0.0487645,0.110717
0.00933333,0.0614375,0.0492792,0.110717
0.0095,0.060945,0.0497718,0.110717
0.00966667,0.0604759,0.050241,0.110717
0.00983333,0.0600315,0.0506854,0.110717
0.01,0.0596123,0.0511046,0.110717
0.0101667,0.0592189,0.0514981,0.110717
0.0103333,0.0588511,0.0518658,0.110717
0.0105,0.0585088,0.0522081,0.110717
0.0106667,0.0581916,0.0525253,0.110717
0.0108333,0.0578987,0.0528181,0.110717
0.011,0.0576294,0.0530874,0.110717
0.0111667,0.0573826,0.0533341,0.110717
0.0113333,0.0571573,0.0535593,0.110717
0.0115,0.0569525,0.0537641,0.110717
0.0116667,0.0567668,0.0539497,0.110716
0.0118333,0.0565991,0.0541173,0.110716
0.012,0.0564481,0.0542682,0.110716
0.0121667,0.0563127,0.0544035,0.110716
0.0123333,0.0561916,0.0545245,0.110716
0.0125,0.0560837,0.0546324,0.110716
0.0126667,0.0559878,0.0547282,0.110716
0.0128333,0.0559029,0.054813,0.110716
0.013,0.055828,0.0548879,0.110716
0.0131667,0.055762,0.0549539,0.110716
0.0133333,0.0557041,0.0550117,0.110716
0.0135,0.0556535,0.0550623,0.110716
0.0136667,0.0556093,0.0551064,0.110716
0.0138333,0.0555709,0.0551448,0.110716
0.014,0.0555376,0.055178,0.110716
0.0141667,0.0555088,0.0552068,0.110716
0.0143333,0.055484,0.0552316,0.110716
0.0145,0.0554627,0.0552529,0.110716
0.0146667,0.0554444,0.0552711,0.110716
0.0148333,0.0554288,0.0552867,0.110715
0.015,0.0554154,0.0553,0.110715
0.0151667,0.0554041,0.0553113,0.110715
0.0153333,0.0553945,0.0553209,0.110715
0.0155,0.0553864,0.055329,0.110715
0.0156667,0.0553796,0.0553358,0.110715
0.0158333,0.0553738,0.0553415,0.110715
0.016,0.055369,0.0553464,0.110715
0.0161667,0.055365,0.0553504,0.110715
0.0163333,0.0553617,0.0553537,0.110715
0.0165,0.0553589,0.0553565,0.110715
0.0166667,0.0553565,0.0553588,0.110715
0.0168333,0.0553546,0.0553607,0.110715
0.017,0.0553531,0.0553623,0.110715
0.0171667,0.0553518,0.0553636,0.110715
0.0173333,0.0553507,0.0553647,0.110715
0.0175,0.0553498,0.0553655,0.110715
0.0176667,0.0553491,0.0553662,0.110715
0.0178333,0.0553485,0.0553668,0.110715
0.018,0.0553481,0.0553673,0.110715
0.0181667,0.0553477,0.0553677,0.110715
0.0183333,0.0553474,0.055368,0.110715
0.0185,0.0553471,0.0553682,0.110715
0.0186667,0.0553469,0.0553684,0.110715
0.0188333,0.0553468,0.0553686,0.110715
0.019,0.0553466,0.0553687,0.110715
0.0191667,0.0553465,0.0553688,0.110715
0.0193333,0.0553464,0.0553689,0.110715
0.0195,0.0553464,0.055369,0.110715
0.0196667,0.0553463,0.055369,0.110715
0.0198333,0.0553463,0.055369,0.110715
0.02,0.0553463,0.0553691,0.110715
0.0201667,0.0553462,0.0553691,0.110715
0.0203333,0.0553462,0.0553691,0.110715
0.0205,0.0553462,0.0553691,0.110715
0.0206667,0.0553462,0.0553691,0.110715
0.0208333,0.0553462,0.0553692,0.110715
0.021,0.0553462,0.0553692,0.110715
0.0211667,0.0553462,0.0553692,0.110715
0.0213333,0.0553462,0.0553692,0.110715
0.0215,0.0553462,0.0553692,0.110715
0.0216667,0.0553462,0.0553692,0.110715
0.0218333,0.0553462,0.0553692,0.110715
0.022,0.0553462,0.0553692,0.110715
0.0221667,0.0553461,0.0553692,0.110715
0.0223333,0.0553461,0.0553692,0.110715
0.0225,0.0553461,0.0553692,0.110715
0.0226667,0.0553461,0.0553692,0.110715
0.0228333,0.0553461,0.0553692,0.110715
0.023,0.0553461,0.0553692,0.110715
0.0231667,0.0553461,0.0553692,0.110715
0.0233333,0.0553461,0.0553692,0.110715
0.0235,0.0553461,0.0553692,0.110715
0.0236667,0.0553461,0.0553692,0.110715
