t,Ekin,Epot,Etot
0.000166667,0.0886225,0.0885737,0.177196
0.000333333,0.0886217,0.0885744,0.177196
0.0005,0.0886206,0.0885756,0.177196
0.000666667,0.088619,0.0885772,0.177196
0.000833333,0.0886169,0.0885793,0.177196
0.001,0.0886145,0.0885817,0.177196
0.00116667,0.0886117,0.0885845,0.177196
0.00133333,0.0886086,0.0885876,0.177196
0.0015,0.0886053,0.0885909,0.177196
0.00166667,0.0886017,0.0885945,0.177196
0.00183333,0.088598,0.0885982,0.177196
0.002,0.0885941,0.0886021,0.177196
0.00216667,0.0885902,0.088606,0.177196
0.00233333,0.0885863,0.0886099,0.177196
0.0025,0.0885825,0.0886137,0.177196
0.00266667,0.0885787,0.0886175,0.177196
0.00283333,0.0885751,0.0886211,0.177196
0.003,0.0885717,0.0886246,0.177196
0.00316667,0.0885684,0.0886278,0.177196
0.00333333,0.0885655,0.0886307,0.177196
0.0035,0.0885628,0.0886334,0.177196
0.00366667,0.0885604,0.0886358,0.177196
0.00383333,0.0885584,0.0886379,0.177196
0.004,0.0885566,0.0886396,0.177196
0.00416667,0.0885553,0.088641,0.177196
0.00433333,0.0885542,0.088642,0.177196
0.0045,0.0885535,0.0886427,0.177196
0.00466667,0.0885531,0.0886432,0.177196
0.00483333,0.088553,0.0886433,0.177196
0.005,0.0885532,0.0886431,0.177196
0.00516667,0.0885536,0.0886426,0.177196
0.00533333,0.0885543,0.0886419,0.177196
0.0055,0.0885552,0.088641,0.177196
0.00566667,0.0885563,0.08864,0.177196
0.00583333,0.0885575,0.0886387,0.177196
0.006,0.0885588,0.0886374,0.177196
0.00616667,0.0885602,0.088636,0.177196
0.00633333,0.0885617,0.0886345,0.177196
0.0065,0.0885632,0.088633,0.177196
0.00666667,0.0885646,0.0886316,0.177196
0.00683333,0.088566,0.0886302,0.177196
0.007,0.0885672,0.0886289,0.177196
0.00716667,0.0885684,0.0886278,0.177196
0.00733333,0.0885693,0.0886268,0.177196
0.0075,0.0885701,0.0886261,0.177196
0.00766667,0.0885706,0.0886256,0.177196
0.00783333,0.0885707,0.0886255,0.177196
0.008,0.0885705,0.0886257,0.177196
0.00816667,0.0885699,0.0886263,0.177196
0.00833333,0.0885688,0.0886274,0.177196
0.0085,0.0885671,0.0886291,0.177196
0.00866667,0.0885647,0.0886315,0.177196
0.00883333,0.0885616,0.0886346,0.177196
0.009,0.0885576,0.0886386,0.177196
0.00916667,0.0885525,0.0886436,0.177196
0.00933333,0.0885463,0.0886498,0.177196
0.0095,0.0885387,0.0886574,0.177196
0.00966667,0.0885296,0.0886665,0.177196
0.00983333,0.0885186,0.0886775,0.177196
0.01,0.0885055,0.0886906,0.177196
0.0101667,0.0884899,0.0887061,0.177196
0.0103333,0.0884716,0.0887244,0.177196
0.0105,0.08845,0.088746,0.177196
0.0106667,0.0884248,0.0887712,0.177196
0.0108333,0.0883953,0.0888006,0.177196
0.011,0.088361,0.0888349,0.177196
0.0111667,0.0883212,0.0888746,0.177196
0.0113333,0.0882752,0.0889206,0.177196
0.0115,0.0882222,0.0889735,0.177196
0.0116667,0.0881612,0.0890344,0.177196
0.0118333,0.0880914,0.0891042,0.177196
0.012,0.0880115,0.089184,0.177196
0.0121667,0.0879206,0.0892748,0.177195
0.0123333,0.0878173,0.089378,0.177195
0.0125,0.0877003,0.0894949,0.177195
0.0126667,0.0875682,0.0896269,0.177195
0.0128333,0.0874196,0.0897755,0.177195
0.013,0.0872529,0.0899421,0.177195
0.0131667,0.0870664,0.0901285,0.177195
0.0133333,0.0868585,0.0903363,0.177195
0.0135,0.0866275,0.0905672,0.177195
0.0136667,0.0863717,0.0908228,0.177195
0.0138333,0.0860895,0.0911049,0.177194
0.014,0.0857791,0.0914152,0.177194
0.0141667,0.0854391,0.0917552,0.177194
0.0143333,0.0850678,0.0921264,0.177194
0.0145,0.0846639,0.0925302,0.177194
0.0146667,0.0842264,0.0929677,0.177194
0.0148333,0.0837541,0.0934398,0.177194
0.015,0.0832466,0.0939474,0.177194
0.0151667,0.0827033,0.0944907,0.177194
0.0153333,0.0821243,0.0950696,0.177194
0.0155,0.0815102,0.0956839,0.177194
0.0156667,0.0808616,0.0963325,0.177194
0.0158333,0.0801803,0.097014,0.177194
0.016,0.0794681,0.0977263,0.177194
0.0161667,0.0787278,0.0984669,0.177195
0.0163333,0.0779627,0.0992322,0.177195
0.0165,0.0771769,0.100018,0.177195
0.0166667,0.0763752,0.10082,0.177196
0.0168333,0.0755633,0.101633,0.177196
0.017,0.0747475,0.102449,0.177196
0.0171667,0.0739351,0.103262,0.177197
0.0173333,0.0731341,0.104063,0.177197
0.0175,0.0723532,0.104845,0.177198
0.0176667,0.0716019,0.105597,0.177199
0.0178333,0.0708905,0.106309,0.177199
0.018,0.0702297,0.10697,0.1772
0.0181667,0.0696308,0.10757,0.177201
0.0183333,0.0691055,0.108096,0.177202
0.0185,0.0686659,0.108536,0.177202
0.0186667,0.0683242,0.108879,0.177203
0.0188333,0.0680925,0.109111,0.177204
0.019,0.0679828,0.109222,0.177205
0.0191667,0.0680067,0.109199,0.177205
0.0193333,0.0681755,0.10903,0.177206
0.0195,0.0684994,0.108707,0.177206
0.0196667,0.0689879,0.108219,0.177207
0.0198333,0.0696492,0.107558,0.177207
0.02,0.0704902,0.106718,0.177208
0.0201667,0.0715163,0.105692,0.177208
0.0203333,0.0727311,0.104477,0.177208
0.0205,0.0741362,0.103072,0.177208
0.0206667,0.0757314,0.101477,0.177208
0.0208333,0.0775139,0.0996938,0.177208
0.021,0.0794789,0.0977283,0.177207
0.0211667,0.0816191,0.0955874,0.177207
0.0213333,0.083925,0.0932808,0.177206
0.0215,0.0863842,0.0908207,0.177205
0.0216667,0.0889824,0.0882214,0.177204
0.0218333,0.0917028,0.0854999,0.177203
0.022,0.0945263,0.0826751,0.177201
0.0221667,0.0974318,0.0797681,0.1772
0.0223333,0.100397,0.0768018,0.177198
0.0225,0.103396,0.0738007,0.177197
0.0226667,0.106404,0.0707907,0.177195
0.0228333,0.109395,0.0677987,0.177193
0.023,0.112339,0.0648524,0.177192
0.0231667,0.11521,0.0619797,0.17719
0.0233333,0.117979,0.0592087,0.177188
