t,Ekin,Epot,Etot
0.000166667,1.26915e-11,0,1.26915e-11
0.000333333,1.57047e-10,2.53829e-11,1.8243e-10
0.0005,5.5545e-10,2.69676e-10,8.25125e-10
0.000666667,1.22716e-09,9.87969e-10,2.21513e-09
0.000833333,2.26167e-09,2.16621e-09,4.42788e-09
0.001,3.80639e-09,3.6774e-09,7.48379e-09
0.00116667,5.96585e-09,5.61629e-09,1.15821e-08
0.00133333,8.85556e-09,8.25908e-09,1.71146e-08
0.0015,1.25772e-08,1.19035e-08,2.44807e-08
0.00166667,1.71833e-08,1.66913e-08,3.38746e-08
0.00183333,2.27701e-08,2.24808e-08,4.52509e-08
0.002,2.94678e-08,2.91042e-08,5.8572e-08
0.00216667,3.73772e-08,3.6696e-08,7.40732e-08
0.00233333,4.66068e-08,4.56249e-08,9.22317e-08
0.0025,5.72545e-08,5.62376e-08,1.13492e-07
0.00266667,6.93805e-08,6.86274e-08,1.38008e-07
0.00283333,8.30796e-08,8.25729e-08,1.65652e-07
0.003,9.84722e-08,9.78659e-08,1.96338e-07
0.00316667,1.15654e-07,1.14663e-07,2.30318e-07
0.00333333,1.34729e-07,1.33398e-07,2.68127e-07
0.0035,1.55789e-07,1.54453e-07,3.10241e-07
0.00366667,1.78896e-07,1.77887e-07,3.56783e-07
0.00383333,2.0414e-07,2.03416e-07,4.07557e-07
0.004,2.31634e-07,2.30793e-07,4.62428e-07
0.00416667,2.61468e-07,2.60189e-07,5.21657e-07
0.00433333,2.93738e-07,2.92087e-07,5.85824e-07
0.0045,3.2853e-07,3.26899e-07,6.55428e-07
0.00466667,3.65905e-07,3.64656e-07,7.3056e-07
0.00483333,4.05947e-07,4.05016e-07,8.10962e-07
0.005,4.48758e-07,4.47697e-07,8.96456e-07
0.00516667,4.94423e-07,4.92881e-07,9.87305e-07
0.00533333,5.43029e-07,5.4109e-07,1.08412e-06
0.0055,5.94657e-07,5.92758e-07,1.18742e-06
0.00566667,6.49361e-07,6.47892e-07,1.29725e-06
0.00583333,7.07219e-07,7.06099e-07,1.41332e-06
0.006,7.68324e-07,7.67064e-07,1.53539e-06
0.00616667,8.3275e-07,8.30973e-07,1.66372e-06
0.00633333,9.00577e-07,8.98381e-07,1.79896e-06
0.0065,9.71877e-07,9.69742e-07,1.94162e-06
0.00666667,1.0467e-06,1.04504e-06,2.09173e-06
0.00683333,1.12511e-06,1.12383e-06,2.24894e-06
0.007,1.20719e-06,1.20576e-06,2.41296e-06
0.00716667,1.29302e-06,1.29104e-06,2.58405e-06
0.00733333,1.38265e-06,1.38023e-06,2.76288e-06
0.0075,1.47615e-06,1.47381e-06,2.94995e-06
0.00766667,1.57356e-06,1.57173e-06,3.14528e-06
0.00783333,1.67493e-06,1.67351e-06,3.34845e-06
0.008,1.78035e-06,1.77878e-06,3.55913e-06
0.00816667,1.88987e-06,1.88772e-06,3.77759e-06
0.00833333,2.00354e-06,2.00094e-06,4.00448e-06
0.0085,2.12141e-06,2.11891e-06,4.24032e-06
0.00866667,2.24353e-06,2.24157e-06,4.48509e-06
0.00883333,2.36992e-06,2.3684e-06,4.73832e-06
0.009,2.50067e-06,2.49898e-06,4.99965e-06
0.00916667,2.6358e-06,2.63352e-06,5.26932e-06
0.00933333,2.77536e-06,2.77263e-06,5.54799e-06
0.0095,2.9194e-06,2.91678e-06,5.83618e-06
0.00966667,3.06793e-06,3.06591e-06,6.13384e-06
0.00983333,3.22098e-06,3.21946e-06,6.44044e-06
0.01,3.37857e-06,3.37703e-06,6.75559e-06
0.0101667,3.54067e-06,3.53884e-06,7.07951e-06
0.0103333,3.70724e-06,3.70562e-06,7.41286e-06
0.0105,3.87815e-06,3.878e-06,7.75615e-06
0.0106667,4.05323e-06,4.05607e-06,8.1093e-06
0.0108333,4.23224e-06,4.23949e-06,8.47173e-06
0.011,4.41497e-06,4.42805e-06,8.84302e-06
0.0111667,4.6012e-06,4.62217e-06,9.22337e-06
0.0113333,4.79079e-06,4.82266e-06,9.61344e-06
0.0115,4.98357e-06,5.03017e-06,1.00137e-05
0.0116667,5.17938e-06,5.24475e-06,1.04241e-05
0.0118333,5.37801e-06,5.46598e-06,1.0844e-05
0.012,5.57927e-06,5.69361e-06,1.12729e-05
0.0121667,5.78297e-06,5.928e-06,1.1711e-05
0.0123333,5.98893e-06,6.16998e-06,1.21589e-05
0.0125,6.19701e-06,6.42019e-06,1.26172e-05
0.0126667,6.40698e-06,6.67867e-06,1.30857e-05
0.0128333,6.61866e-06,6.94499e-06,1.35637e-05
0.013,6.83186e-06,7.21881e-06,1.40507e-05
0.0131667,7.04643e-06,7.50046e-06,1.45469e-05
0.0133333,7.26218e-06,7.79075e-06,1.50529e-05
0.0135,7.47894e-06,8.09034e-06,1.55693e-05
0.0136667,7.69648e-06,8.39926e-06,1.60957e-05
0.0138333,7.91467e-06,8.71696e-06,1.66316e-05
0.014,8.13333e-06,9.04308e-06,1.71764e-05
0.0141667,8.35228e-06,9.37792e-06,1.77302e-05
0.0143333,8.57135e-06,9.72232e-06,1.82937e-05
0.0145,8.79037e-06,1.00769e-05,1.88672e-05
0.0146667,9.00917e-06,1.04415e-05,1.94507e-05
0.0148333,9.22759e-06,1.08158e-05,2.00433e-05
0.015,9.44546e-06,1.11991e-05,2.06446e-05
0.0151667,9.66263e-06,1.15919e-05,2.12545e-05
0.0153333,9.87895e-06,1.19949e-05,2.18738e-05
0.0155,1.00943e-05,1.24086e-05,2.25029e-05
0.0156667,1.03084e-05,1.28331e-05,2.31415e-05
0.0158333,1.05212e-05,1.32676e-05,2.37888e-05
0.016,1.07326e-05,1.37118e-05,2.44443e-05
0.0161667,1.09423e-05,1.41658e-05,2.51081e-05
0.0163333,1.11504e-05,1.46304e-05,2.57807e-05
0.0165,1.13565e-05,1.51061e-05,2.64627e-05
0.0166667,1.15607e-05,1.55929e-05,2.71536e-05
0.0168333,1.17627e-05,1.609e-05,2.78528e-05
0.017,1.19625e-05,1.6597e-05,2.85595e-05
0.0171667,1.216e-05,1.7114e-05,2.9274e-05
0.0173333,1.2355e-05,1.76417e-05,2.99966e-05
