t,Ekin,Epot,Etot
0.000166667,1.26915e-11,0,1.26915e-11
0.000333333,1.57047e-10,2.53829e-11,1.8243e-10
0.0005,5.5545e-10,2.69676e-10,8.25125e-10
0.000666667,1.22716e-09,9.87969e-10,2.21513e-09
0.000833333,2.26167e-09,2.16621e-09,4.42788e-09
0.001,3.80639e-09,3.6774e-09,7.48379e-09
0.00116667,5.96585e-09,5.61629e-09,1.15821e-08
0.00133333,8.85556e-09,8.25908e-09,1.71146e-08
0.0015,1.25772e-08,1.19035e-08,2.44807e-08
0.00166667,1.71833e-08,1.66913e-08,3.38746e-08
0.00183333,2.27701e-08,2.24808e-08,4.52509e-08
0.002,2.94678e-08,2.91042e-08,5.8572e-08
0.00216667,3.73772e-08,3.6696e-08,7.40732e-08
0.00233333,4.66068e-08,4.56249e-08,9.22317e-08
0.0025,5.72545e-08,5.62376e-08,1.13492e-07
0.00266667,6.93805e-08,6.86274e-08,1.38008e-07
0.00283333,8.30796e-08,8.25729e-08,1.65652e-07
0.003,9.84722e-08,9.78659e-08,1.96338e-07
0.00316667,1.15654e-07,1.14663e-07,2.30318e-07
0.00333333,1.34729e-07,1.33398e-07,2.68127e-07
0.0035,1.55789e-07,1.54453e-07,3.10241e-07
0.00366667,1.78896e-07,1.77887e-07,3.56783e-07
0.00383333,2.0414e-07,2.03416e-07,4.07557e-07
0.004,2.31634e-07,2.30793e-07,4.62428e-07
0.00416667,2.61468e-07,2.60189e-07,5.21657e-07
0.00433333,2.93738e-07,2.92087e-07,5.85824e-07
0.0045,3.2853e-07,3.26899e-07,6.55428e-07
0.00466667,3.65905e-07,3.64656e-07,7.3056e-07
0.00483333,4.05947e-07,4.05016e-07,8.10962e-07
0.005,4.48758e-07,4.47697e-07,8.96456e-07
0.00516667,4.94423e-07,4.92881e-07,9.87305e-07
0.00533333,5.43029e-07,5.4109e-07,1.08412e-06
0.0055,5.94657e-07,5.92758e-07,1.18742e-06
0.00566667,6.49361e-07,6.47892e-07,1.29725e-06
0.00583333,7.07219e-07,7.06099e-07,1.41332e-06
0.006,7.68324e-07,7.67064e-07,1.53539e-06
0.00616667,8.3275e-07,8.30973e-07,1.66372e-06
0.00633333,9.00577e-07,8.98381e-07,1.79896e-06
0.0065,9.71877e-07,9.69742e-07,1.94162e-06
0.00666667,1.0467e-06,1.04504e-06,2.09173e-06
0.00683333,1.12511e-06,1.12383e-06,2.24894e-06
0.007,1.20719e-06,1.20576e-06,2.41296e-06
0.00716667,1.29302e-06,1.29104e-06,2.58405e-06
0.00733333,1.38265e-06,1.38023e-06,2.76288e-06
0.0075,1.47615e-06,1.47381e-06,2.94995e-06
0.00766667,1.57356e-06,1.57173e-06,3.14528e-06
0.00783333,1.67493e-06,1.67351e-06,3.34845e-06
0.008,1.78035e-06,1.77878e-06,3.55913e-06
0.00816667,1.88987e-06,1.88772e-06,3.77759e-06
0.00833333,2.00354e-06,2.00094e-06,4.00448e-06
0.0085,2.12141e-06,2.11891e-06,4.24032e-06
0.00866667,2.24353e-06,2.24157e-06,4.48509e-06
0.00883333,2.36992e-06,2.3684e-06,4.73832e-06
0.009,2.50067e-06,2.49898e-06,4.99965e-06
0.00916667,2.6358e-06,2.63352e-06,5.26932e-06
0.00933333,2.77536e-06,2.77262e-06,5.54799e-06
0.0095,2.91941e-06,2.91678e-06,5.83619e-06
0.00966667,3.06795e-06,3.0659e-06,6.13385e-06
0.00983333,3.22102e-06,3.21942e-06,6.44045e-06
0.01,3.37868e-06,3.37692e-06,6.7556e-06
0.0101667,3.54094e-06,3.53858e-06,7.07952e-06
0.0103333,3.70786e-06,3.70502e-06,7.41288e-06
0.0105,3.87945e-06,3.87674e-06,7.75618e-06
0.0106667,4.05572e-06,4.05362e-06,8.10934e-06
0.0108333,4.23671e-06,4.23508e-06,8.47179e-06
0.011,4.42244e-06,4.42066e-06,8.8431e-06
0.0111667,4.61294e-06,4.61052e-06,9.22346e-06
0.0113333,4.80822e-06,4.80532e-06,9.61354e-06
0.0115,5.0083e-06,5.00555e-06,1.00138e-05
0.0116667,5.21318e-06,5.21107e-06,1.04242e-05
0.0118333,5.42288e-06,5.42125e-06,1.08441e-05
0.012,5.63741e-06,5.63563e-06,1.1273e-05
0.0121667,5.85677e-06,5.85436e-06,1.17111e-05
0.0123333,6.08099e-06,6.07809e-06,1.21591e-05
0.0125,6.31006e-06,6.30732e-06,1.26174e-05
0.0126667,6.54397e-06,6.54188e-06,1.30859e-05
0.0128333,6.78272e-06,6.78114e-06,1.35639e-05
0.013,7.02631e-06,7.02458e-06,1.40509e-05
0.0131667,7.27475e-06,7.27237e-06,1.45471e-05
0.0133333,7.52801e-06,7.52515e-06,1.50532e-05
0.0135,7.78611e-06,7.78342e-06,1.55695e-05
0.0136667,8.04901e-06,8.04699e-06,1.6096e-05
0.0138333,8.31669e-06,8.3152e-06,1.66319e-05
0.014,8.58916e-06,8.58752e-06,1.71767e-05
0.0141667,8.86639e-06,8.8641e-06,1.77305e-05
0.0143333,9.14837e-06,9.14559e-06,1.8294e-05
0.0145,9.43507e-06,9.43247e-06,1.88675e-05
0.0146667,9.72646e-06,9.72456e-06,1.9451e-05
0.0148333,1.00225e-05,1.00212e-05,2.00437e-05
0.015,1.03232e-05,1.03217e-05,2.06449e-05
0.0151667,1.06285e-05,1.06264e-05,2.12549e-05
0.0153333,1.09384e-05,1.09358e-05,2.18742e-05
0.0155,1.12528e-05,1.12504e-05,2.25032e-05
0.0156667,1.15718e-05,1.157e-05,2.31418e-05
0.0158333,1.18952e-05,1.1894e-05,2.37892e-05
0.016,1.2223e-05,1.22217e-05,2.44447e-05
0.0161667,1.25552e-05,1.25532e-05,2.51085e-05
0.0163333,1.28918e-05,1.28893e-05,2.57811e-05
0.0165,1.32327e-05,1.32304e-05,2.64631e-05
0.0166667,1.35778e-05,1.35762e-05,2.7154e-05
0.0168333,1.39271e-05,1.39261e-05,2.78532e-05
0.017,1.42805e-05,1.42794e-05,2.85599e-05
0.0171667,1.46381e-05,1.46363e-05,2.92744e-05
0.0173333,1.49997e-05,1.49974e-05,2.9997e-05
